identyfikator;numer;litera;Warunek;negRPplus;pozRPplus;negRPminus;pozRPminus;negNRP;pozNRP;OdpRPplus;OdpRPminus;OdpNRP;wiek;plec;nastroj;SSPP_1;SSPP_2;SSPP_3;SSPP_4;SSPP_5;SSPP_6;SSPP_7;SSPP_8;SSPP_9;SSPP_10;SSPP_11;SSPP_12;SSPP_13;SSPP_14;SSPP_15;SSPP_16;SSPP_17;SSPP_18;SSPP_19;SSPP_20;SSPP_21;SSPP_22;SSPP_23;SSPP_24;SSPP_25;SSPP_26;SSPP_27;SSPP_8_R;SSPP_26_R;KU_1;KU_2;KU_3;KU_4;KU_5;KU_6;KU_7;KU_8;KU_9;KU_10;KU_11;KU_12;KU_13;KU_14;KU_15;KU_16;KU_17;KU_18;KU_19;KU_20;srePromocja;srePrewencja;rozPromPrew;PromocjaKontrola;PromocjaStandardy;PrewencjaStandardy;PrewencjaKontrola;PrewencjaSuma;PromocjaSuma;Sila;RPplusRoz;RPminusRoz;NRPRoz;RIF;bledy;RPbledy;NRPbledy;NASTAWIENIE;KU_1_R;KU_2_R;KU_3_R;KU_6_R;KU_7_R;KU_8_R;KU_11_R;KU_12_R;KU_15_R;KU_16_R;KU_20_R;AF;AS;AS_med;AF_med;KKU_suma;ZOdpRPminus;ZKKU_suma;ZAF;ZAS;warc;inter_SKU_war;inter_SKU_war1
9B;9;B;1;558;827,166667;853,888889;683,166667;633,5;651,857143;0,375;0;0,25;24;2;5;5;4;3;5;1;4;4;3;5;1;1;4;4;5;5;5;4;1;4;2;5;4;1;5;5;3;1;3;3;2,5;2,5;2,5;2,5;2,5;2,5;2,5;2,5;2,5;2,5;2,5;2,5;2,5;2,5;2,5;2,5;2,5;2,5;2,5;2,5;2,7777777778;4,2727272727;-1,4949494949;17;8;15;32;47;25;22;-269,166667;170,722222;-18,357143;0,25;0;;;;;1;2,5;2,5;2,5;2,5;2,5;2,5;2,5;2,5;2,5;2,5;2,5;25;25;1;1;50;-1,2438533571;-0,3208345246;-0,1303762501;-0,4463839827;-1
3D;3;D;1;525,75;542;514,428571;572,75;491,666667;635,875;0,75;0,25;0,625;47;2;4;2;3;3;3;3;3;4;3;3;3;3;3;4;3;4;3;2;3;2;3;4;3;3;4;3;3;3;3;3;2;2;3;1;2;3;2;3;2;2;3;2;2;1;3;2;2;2;2;2;2,7777777778;3,1818181818;-0,404040404;10;15;12;23;35;25;23;-16,25;-58,321429;-144,208333;0,375;0;;;;;1;3;3;2;2;3;2;2;3;2;3;3;22;22;1;1;44;-0,1283340765;-1,0447140844;-0,7485237855;-1,1071882191;-1
1A;1;A;1;774,142857;660,5;794,444444;644;662;700,571429;0,625;0,125;0,1875;22;2;5;4;4;4;4;5;5;5;2;3;4;3;2;4;3;3;5;4;4;4;4;5;4;4;5;5;3;5;4;3;4;2;2;1;1;3;2;3;2;3;3;4;3;3;2;2;2;2;2;2;4,2222222222;4,0909090909;0,1313131313;15;23;12;33;45;38;26;113,642857;150,444444;-38,571429;0,0625;0;;;;;1;1;3;3;2;3;2;2;1;3;3;3;20;25;1;1;45;-0,6860937168;-0,9240674911;-1,1606221424;-0,4463839827;-1
21C;21;C;1;683,5;777,75;791,4;815,5;778;903,333333;1;0,5;0,4375;20;1;4;3;4;5;4;3;3;2;3;4;3;4;3;5;3;3;3;2;3;4;3;3;4;3;3;4;4;3;3;2;4;2;2;2;1;2;2;3;2;3;2;2;2;2;2;2;1;1;2;2;3,3333333333;3,2727272727;0,0606060606;15;15;15;21;36;30;23;-94,25;-24,1;-125,333333;-0,0625;4;;;3;1;1;3;3;3;3;2;3;3;3;3;3;21;25;1;1;46;0,987185204;-0,8034208978;-0,9545729639;-0,4463839827;-1;-46
1D;1;D;1;2457;1130;2364,285714;2396;1604,5;3135;0,375;0,25;0,4375;38;2;4;2;5;4;5;4;2;4;4;5;1;3;2;4;2;4;4;2;4;2;2;4;2;3;4;5;4;3;2;2;1;2;2;1;3;3;2;3;1;3;4;2;2;1;2;4;3;2;2;1;2,8888888889;3,9090909091;-1,0202020202;10;16;15;28;43;26;17;1327;-31,714286;-1530,5;0,1875;2;1;1;1;4;3;3;2;3;2;1;3;3;1;4;24;23;1;1;47;-0,1283340765;-0,6827743045;-0,3364254285;-0,8869201403;-1;-47;47
22A;22;A;1;1761,2;1288,5;1351,25;930,666667;1390,2;1144,25;0,625;0;0,125;24;1;4;2;2;3;5;3;3;4;3;4;2;4;4;3;3;2;5;5;3;4;2;3;2;2;4;4;3;3;3;3;3;2;2;4;2;4;4;1;2;1;3;2;4;4;2;3;1;1;2;2;2,8888888889;4;-1,1111111111;12;14;17;27;44;26;17;472,7;420,583333;245,95;0,125;4;3;1;1;2;3;3;1;1;4;2;3;3;2;3;23;25;1;1;48;-1,2438533571;-0,5621277112;-0,542474607;-0,4463839827;-1;-48;48
48A;48;A;1;627,5;1308,75;603;770,5;719;597,5;0,375;0,25;0,125;20;1;3;4;5;2;3;5;5;5;3;4;5;3;2;5;5;3;3;2;4;5;3;4;3;3;4;3;2;3;3;4;4;2;4;2;2;3;4;4;4;2,5;2,5;2,5;2,5;2,5;2,5;2,5;2,5;2,5;2,5;2,5;4;3,4545454545;0,5454545455;16;20;12;26;38;36;26;-681,25;-167,5;121,5;-0,125;0;;;;;2;1;3;1;2;1;1;2,5;2,5;2,5;2,5;2,5;19,5;25;1;1;44,5;-0,1283340765;-0,9843907878;-1,2636467316;-0,4463839827;-1
8B;8;B;1;719,6;1406,25;1057,375;857,666667;1002;914,571429;0,25;0,375;0,1875;22;1;3;4;4;4;4;4;4;4;3;4;4;3;3;2;2;2;4;4;4;4;4;2;3;4;2;2;2;4;3;4;3;2;3;2;2;3;3;3;1;2;2;4;2;2;3;2;3;2;2;3;3,7777777778;3,2727272727;0,5050505051;14;20;14;22;36;34;22;-686,65;199,708333;87,428571;-0,1875;0;;;1;2;2;3;2;2;2;2;3;1;2;3;2;20;22;1;1;42;0,4294255638;-1,286007271;-1,1606221424;-1,1071882191;-1;-42
5C;5;C;1;763,25;596,5;616;609,5;811;632,666667;0,5;0,5;0,625;17;1;4;5;5;4;4;4;3;3;1;4;4;3;3;4;5;5;5;2;4;4;4;5;5;4;4;3;4;4;5;2;3;2;3;2;4;2;3;4;2;2;4;2;2;2;3;2;3;2;2;3;4,1111111111;3,7272727273;0,3838383838;18;19;14;27;41;37;29;166,75;6,5;178,333333;0,125;0;;;;;2;2;3;2;3;2;1;1;3;2;3;2;23;22;1;1;45;0,987185204;-0,9240674911;-0,542474607;-1,1071882191;-1
16A;16;A;1;783;1016,5;1041;1441,666667;1258;725,25;0,625;0,25;0,4375;20;2;2;3;5;4;4;5;5;4;2;4;5;2;4;4;4;3;4;2;4;4;3;5;5;4;2;4;2;5;4;4;3;2;2;2;3;2;3;3;2;3;4;2;4;1;2;1;2;3;1;1;4,2222222222;3,6363636364;0,5858585859;15;23;14;26;40;38;28;-233,5;-400,666667;532,75;0,1875;0;;;;;2;2;3;3;3;2;2;1;3;3;4;4;25;26;1;1;51;-0,1283340765;-0,2001879313;-0,1303762501;-0,2261159039;-1
